,ID,X,Y
393,28512790,146.894,-36.1965
394,29817670,147.274,-36.0445
395,28516790,147.572,-36.1722
396,28517580,147.004,-36.1411
397,29689710,147.298,-36.0533
398,28516330,146.397,-36.0635
399,28514020,147.045,-36.2009
400,29689750,147.297,-36.1954
401,28156750,147.33,-36.0709
402,28516230,147.338,-36.0549
403,29692140,146.523,-36.0508
404,27848520,147.972,-36.1393
405,29689700,147.267,-36.0444
406,26626270,147.915,-36.0466
407,30304810,147.14,-36.2212
408,27572310,147.255,-36.4641
409,29687120,147.812,-36.1513
410,27452460,147.608,-35.9783
411,28517090,147.145,-36.7027
412,27843960,147.648,-36.2131
413,29687980,146.609,-36.1069
414,29688610,147.215,-36.7778
415,29688100,146.485,-36.0514
416,28516710,147.591,-36.1745
417,29690260,146.829,-36.5873
418,27845220,146.989,-36.23
419,29686750,146.865,-36.3316
420,27842220,146.906,-36.4249
421,27839070,147.285,-36.1925
422,28516670,147.754,-36.2005
423,29686060,146.665,-36.5008
424,27648740,146.953,-36.1793
425,29688930,146.656,-36.4824
426,29688850,147.011,-36.448
427,27364870,147.641,-36.1109
428,27850020,147.692,-36.0192
429,27845370,147.411,-36.159
430,28513780,147.052,-36.2069
431,28516850,147.226,-36.2165
432,29692850,146.367,-36.0662
433,29686860,146.873,-36.3712
434,27848130,147.039,-36.1959
435,29692930,146.176,-36.0646
436,28516960,146.921,-36.2533
437,29690400,147.132,-36.7224
438,29685630,147.08,-36.2428
439,27839290,146.941,-36.2345
440,26626250,147.926,-36.0498
441,29690450,147.735,-35.9712
442,29688760,146.695,-36.644
443,29687320,147.908,-36.043
444,29687060,147.576,-36.1718
445,28515820,147.337,-36.185
446,27660190,147.698,-36.0121
447,27848610,147.082,-36.2485
448,28516530,147.931,-36.0496
449,29690180,146.844,-36.4878
450,28516510,147.932,-36.0502
451,29692200,147.075,-36.2261
452,27641910,146.825,-36.2998
453,27847910,147.017,-36.7507
454,27457040,147.693,-35.9388
455,27844900,147.037,-36.2919
456,27848110,147.051,-36.2055
457,29690440,146.836,-36.6256
458,27849680,147.08,-36.2416
459,30127450,146.77,-36.5887
460,27845510,147.025,-36.3379
461,27845680,147.036,-36.3173
462,27850010,147.694,-36.0168
463,29688360,146.983,-36.1382
464,27845250,147.025,-36.3367
465,29686680,146.691,-36.3984
466,29689270,146.895,-36.6837
467,29661180,147.748,-36.2028
468,27847680,147.235,-36.2898
469,28516070,147.71,-35.9363
470,29086500,147.076,-36.2571
471,27842910,147.491,-36.1535
472,29686030,147.191,-36.3588
473,28021060,146.982,-36.1381
474,27841690,147.237,-36.27
475,29685530,146.921,-36.4366
476,29690060,146.864,-36.399
477,29692640,146.384,-36.1928
478,29689030,147.005,-36.2555
479,27632690,146.894,-36.195
480,29686000,146.482,-36.4122
481,28516950,147.14,-36.2213
482,29686390,147.082,-36.5754
483,28077980,147.29,-36.0507
484,27849250,146.24,-36.0741
485,28513710,147.07,-36.2538
486,29692750,146.414,-36.0395
487,27848540,147.153,-36.0671
488,28513930,147.043,-36.1999
489,29688130,146.728,-36.3772
490,27843140,147.302,-36.0556
491,28516240,147.332,-36.0691
492,27841900,146.658,-36.4838
493,29686010,147.197,-36.3676
494,29688450,146.593,-36.5383
495,29688090,146.497,-36.0511
496,29686990,147.759,-36.2138
497,28517350,146.978,-36.1377
498,28513540,146.921,-36.4364
499,27838970,147.202,-36.4318
500,27845350,147.574,-36.1713
501,29685420,146.944,-36.2314
502,27843160,147.296,-36.0528
