ItemType,ItemIdentifier,OptShift,CrewTypeID,CrewTypeCode,CrewNum,Sequence,DistanceTravelForJob,PointsCalculatedForJob,PlanStartDate,PlanEndDate
Segment Start,5510106616,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,28,0.0,,2023-10-17T07:40:05.0,2023-10-17T07:40:05.0
Segment End,5510106616,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,29,0.14344110000000002,,2023-10-17T07:40:18.0,2023-10-17T07:40:18.0
Segment Start,5218007547,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,174,0.03,,2023-10-17T08:15:15.0,2023-10-17T08:15:15.0
Segment End,5218007547,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,175,0.1106925,,2023-10-17T08:15:25.0,2023-10-17T08:15:25.0
Segment Start,5236207919,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,164,0.0,,2023-10-17T08:13:41.0,2023-10-17T08:13:41.0
Segment End,5236207919,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,165,0.10204099999999999,,2023-10-17T08:13:50.0,2023-10-17T08:13:50.0
Segment Start,5236107848,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,188,0.07,,2023-10-17T08:16:39.0,2023-10-17T08:16:39.0
Segment End,5236107848,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,189,0.0159467,,2023-10-17T08:16:40.0,2023-10-17T08:16:40.0
Segment Start,8015207493,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,58,0.03,,2023-10-17T07:45:17.0,2023-10-17T07:45:17.0
Segment End,8015207493,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,59,0.5070562,,2023-10-17T07:46:02.0,2023-10-17T07:46:02.0
Segment Start,5510007204,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,10,0.0,,2023-10-17T07:34:53.0,2023-10-17T07:34:53.0
Segment End,5510007204,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,11,0.1142055,,2023-10-17T07:35:03.0,2023-10-17T07:35:03.0
Segment Start,5236208495,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,154,0.0,,2023-10-17T08:12:46.0,2023-10-17T08:12:46.0
Segment End,5236208495,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,155,0.22264009999999998,,2023-10-17T08:13:06.0,2023-10-17T08:13:06.0
Segment Start,5236207346,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,200,0.0,,2023-10-17T08:17:52.0,2023-10-17T08:17:52.0
Segment End,5236207346,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,201,0.09203180000000001,,2023-10-17T08:18:01.0,2023-10-17T08:18:01.0
Segment Start,5218207795,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,182,0.0,,2023-10-17T08:15:53.0,2023-10-17T08:15:53.0
Segment End,5218207795,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,183,0.2395894,,2023-10-17T08:16:14.0,2023-10-17T08:16:14.0
Segment Start,5236007391,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,210,0.41,,2023-10-17T08:18:53.0,2023-10-17T08:18:53.0
Segment End,5236007391,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,211,0.027569800000000002,,2023-10-17T08:18:56.0,2023-10-17T08:18:56.0
Segment Start,5236211765,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,80,0.0,,2023-10-17T08:06:48.0,2023-10-17T08:06:48.0
Segment End,5236211765,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,81,0.0195928,,2023-10-17T08:06:50.0,2023-10-17T08:06:50.0
Segment Start,5236109118,2023-10-17T07:30:00.0,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,1,132,0.03,,2023-10-17T08:11:37.0,2023-10-17T08:11:37.0
