Variable,Value
"x[52362085321,52181076840,WodoStateHaz_1]",-0.0
"x[52362103410,55100066340,WodoStateHaz_1]",0.0
"x[52181075731,1010,WodoStateHaz_1]",-0.0
"x[52361103431,52362113931,WodoStateHaz_1]",0.0
"x[52362079591,55100072841,WodoStateHaz_1]",0.0
"x[52361085341,52181076840,WodoStateHaz_1]",-0.0
"x[55100070281,52361085340,WodoStateHaz_1]",-0.0
"x[55101066410,55100070280,WodoStateHaz_1]",0.0
"x[52361117720,52362078460,WodoStateHaz_1]",0.0
"x[52361078411,52362093370,WodoStateHaz_1]",-0.0
"x[52181075560,80152074470,WodoStateHaz_1]",0.0
"x[52362117650,52362108951,WodoStateHaz_1]",0.0
"x[52360073910,52362103410,WodoStateHaz_1]",0.0
"x[52182077010,52362117170,WodoStateHaz_1]",0.0
"x[52362091110,52362110771,WodoStateHaz_1]",0.0
"x[55101066410,52362079191,WodoStateHaz_1]",0.0
"x[52361091390,52362117651,WodoStateHaz_1]",0.0
"x[52181075731,52180075471,WodoStateHaz_1]",0.0
"x[52362117730,52361091391,WodoStateHaz_1]",0.0
"x[52362102820,25700103691,WodoStateHaz_1]",0.0
"x[52182078150,80662076521,WodoStateHaz_1]",0.0
"x[52361117581,55100066491,WodoStateHaz_1]",0.0
"x[55100070281,52362119991,WodoStateHaz_1]",0.0
"x[55101066850,52362078460,WodoStateHaz_1]",0.0
"x[52362109240,52362072190,WodoStateHaz_1]",0.0
"x[55101070310,55101066070,WodoStateHaz_1]",0.0
"x[52362091111,52361085340,WodoStateHaz_1]",-0.0
"x[52361091180,52361117581,WodoStateHaz_1]",0.0
"x[52362088881,55101071270,WodoStateHaz_1]",-0.0
"x[52362078100,52362117171,WodoStateHaz_1]",0.0
"x[52362117590,52362115281,WodoStateHaz_1]",0.0
"x[52181075651,55101069371,WodoStateHaz_1]",0.0
"x[52181075731,52361078481,WodoStateHaz_1]",0.0
"y[52362113930,WodoStateHaz_1]",1.0
"x[52362121800,52362113711,WodoStateHaz_1]",0.0
"x[52361085341,52362109241,WodoStateHaz_1]",0.0
"x[52362091361,52362084950,WodoStateHaz_1]",-0.0
"x[52362072280,52182077950,WodoStateHaz_1]",0.0
"x[52362111971,80152074470,WodoStateHaz_1]",-0.0
"x[52361085181,52362085140,WodoStateHaz_1]",-0.0
"x[55100066110,52362084951,WodoStateHaz_1]",0.0
"x[52362084950,80662074661,WodoStateHaz_1]",0.0
"x[52362117731,52180076830,WodoStateHaz_1]",-0.0
"x[52361073930,52362079190,WodoStateHaz_1]",0.0
"x[80662074660,52362083230,WodoStateHaz_1]",0.0
"x[52362117591,52362113710,WodoStateHaz_1]",-0.0
"x[52361073930,52362091361,WodoStateHaz_1]",0.0
"x[52361117720,55100069640,WodoStateHaz_1]",0.0
"x[52362121800,52362072191,WodoStateHaz_1]",0.0
"x[55101071741,52362115280,WodoStateHaz_1]",-0.0
"x[52362121190,55101073920,WodoStateHaz_1]",0.0
"x[52362085140,52362117650,WodoStateHaz_1]",0.0
"x[52361078411,52361073931,WodoStateHaz_1]",0.0
"x[52180075470,55101070310,WodoStateHaz_1]",0.0
"x[80662074661,52362085141,WodoStateHaz_1]",0.0
"x[52361078411,52362078461,WodoStateHaz_1]",0.0
"x[52362091111,52180076831,WodoStateHaz_1]",0.0
"x[52180076831,52362103090,WodoStateHaz_1]",-0.0
"x[52362115281,52182077010,WodoStateHaz_1]",-0.0
"x[52362091111,52362078461,WodoStateHaz_1]",0.0
"x[52361091390,55100072840,WodoStateHaz_1]",0.0
"x[55101066851,52362097370,WodoStateHaz_1]",-0.0
"x[52362083231,52362084951,WodoStateHaz_1]",0.0
"x[80652076031,52362121191,WodoStateHaz_1]",0.0
"x[52362088061,55101066850,WodoStateHaz_1]",-0.0
"x[52362072861,52362115630,WodoStateHaz_1]",-0.0
"x[52361085181,80152074470,WodoStateHaz_1]",-0.0
"x[52362113711,55101066161,WodoStateHaz_1]",0.0
"x[55101066161,52182077010,WodoStateHaz_1]",-0.0
"x[52361073931,80652074961,WodoStateHaz_1]",0.0
"x[55100072041,52362090981,WodoStateHaz_1]",0.0
"x[55101069370,52361073930,WodoStateHaz_1]",0.0
"x[52362117651,52361073931,WodoStateHaz_1]",0.0
"x[52181075650,52362117731,WodoStateHaz_1]",0.0
"x[55101069370,52362091361,WodoStateHaz_1]",0.0
"x[52362101201,55101071740,WodoStateHaz_1]",-0.0
"x[52362079191,52182078151,WodoStateHaz_1]",0.0
"x[55101074620,52362082210,WodoStateHaz_1]",0.0
"x[55100071721,52361091390,WodoStateHaz_1]",-0.0
"x[52362088061,52362078461,WodoStateHaz_1]",0.0
"x[52362082211,52362083231,WodoStateHaz_1]",0.0
"x[52360073661,52362087041,WodoStateHaz_1]",0.0
"x[52361073931,52362073461,WodoStateHaz_1]",0.0
"x[52181075730,52180076831,WodoStateHaz_1]",0.0
"x[52362113930,55101066411,WodoStateHaz_1]",0.0
"x[52182078150,52361091390,WodoStateHaz_1]",0.0
"x[55100074241,80152074931,WodoStateHaz_1]",0.0
"x[52362111970,52362117171,WodoStateHaz_1]",0.0
"x[25700103690,52362113710,WodoStateHaz_1]",0.0
"x[52362084951,55100066341,WodoStateHaz_1]",0.0
"x[52361078410,52181075731,WodoStateHaz_1]",0.0
"x[52361117581,52362083231,WodoStateHaz_1]",0.0
"x[52362079190,52362071860,WodoStateHaz_1]",0.0
"x[55100072840,52362072860,WodoStateHaz_1]",0.0
"x[52362110770,80652074960,WodoStateHaz_1]",0.0
"x[52361085180,55100066491,WodoStateHaz_1]",0.0
"x[52361091391,52181075560,WodoStateHaz_1]",-0.0
"x[52361091180,52362103411,WodoStateHaz_1]",0.0
"x[52362108951,52362083230,WodoStateHaz_1]",-0.0
"x[52362088060,52362121800,WodoStateHaz_1]",0.0
"x[52361073931,52362115630,WodoStateHaz_1]",-0.0
"x[52362091361,52362117170,WodoStateHaz_1]",-0.0
"x[80152074471,55101071270,WodoStateHaz_1]",-0.0
"x[55101072160,55100072040,WodoStateHaz_1]",0.0
"x[52362082210,52362117170,WodoStateHaz_1]",0.0
"x[52181075730,52362109240,WodoStateHaz_1]",0.0
"x[52181075731,55100074741,WodoStateHaz_1]",0.0
"x[52362103091,52362103410,WodoStateHaz_1]",-0.0
"x[55100066490,52181075650,WodoStateHaz_1]",0.0
"x[52182077951,52362117731,WodoStateHaz_1]",0.0
"x[52361091180,52362115281,WodoStateHaz_1]",0.0
"x[55100074740,52362080381,WodoStateHaz_1]",0.0
"x[52362108951,52181075560,WodoStateHaz_1]",-0.0
"x[52362082211,55101067851,WodoStateHaz_1]",0.0
"x[52362078460,52362085321,WodoStateHaz_1]",0.0
"x[80662076521,52181076841,WodoStateHaz_1]",0.0
"x[80652074960,52180075590,WodoStateHaz_1]",0.0
"x[52180075591,52362117730,WodoStateHaz_1]",-0.0
"x[52362082210,52361117720,WodoStateHaz_1]",0.0
"x[55101066851,80652075270,WodoStateHaz_1]",-0.0
"x[52362117731,52361117720,WodoStateHaz_1]",-0.0
"x[52362109241,52362072190,WodoStateHaz_1]",-0.0
"x[52362091360,52362079190,WodoStateHaz_1]",0.0
"x[55101071740,80662076520,WodoStateHaz_1]",0.0
"x[80152074930,52362113931,WodoStateHaz_1]",0.0
"x[55101072161,52362093371,WodoStateHaz_1]",0.0
"x[52361117580,52361103301,WodoStateHaz_1]",0.0
"x[52362117731,52362091361,WodoStateHaz_1]",0.0
"x[52361117581,55100066341,WodoStateHaz_1]",0.0
"x[55101071271,55101066071,WodoStateHaz_1]",0.0
"x[55101069660,55100072840,WodoStateHaz_1]",0.0
"x[52362101000,52361078481,WodoStateHaz_1]",0.0
"x[52362091361,55101071271,WodoStateHaz_1]",0.0
"x[55100066111,55100074741,WodoStateHaz_1]",0.0
"x[52362101201,52362117170,WodoStateHaz_1]",-0.0
"x[52361091390,52362088061,WodoStateHaz_1]",0.0
"x[55101066161,52362091360,WodoStateHaz_1]",-0.0
"x[52181075560,52362115280,WodoStateHaz_1]",0.0
"x[52362101200,52361103430,WodoStateHaz_1]",0.0
"x[52362115281,52180076831,WodoStateHaz_1]",0.0
"x[55100071721,52362121800,WodoStateHaz_1]",-0.0
"x[52362117591,55101069371,WodoStateHaz_1]",0.0
"x[52362095851,80662076520,WodoStateHaz_1]",-0.0
"x[52360073661,80652074961,WodoStateHaz_1]",0.0
"x[52362087040,52362117591,WodoStateHaz_1]",0.0
"x[52362091111,52361073930,WodoStateHaz_1]",-0.0
"x[52362113930,52362093371,WodoStateHaz_1]",0.0
"x[80662074661,55101073920,WodoStateHaz_1]",-0.0
"x[52362093371,52362078100,WodoStateHaz_1]",-0.0
"x[52362098030,55100074240,WodoStateHaz_1]",0.0
"x[52361091391,52362115630,WodoStateHaz_1]",-0.0
"x[52361078411,52181075730,WodoStateHaz_1]",-0.0
"x[52362079591,52362111970,WodoStateHaz_1]",-0.0
"x[55101071270,52362117171,WodoStateHaz_1]",0.0
"x[55101073920,52362079590,WodoStateHaz_1]",0.0
"x[52362079190,52362089971,WodoStateHaz_1]",0.0
"x[52362117731,52181076840,WodoStateHaz_1]",-0.0
"x[55101072160,52362084950,WodoStateHaz_1]",0.0
"x[52362098031,52362078101,WodoStateHaz_1]",0.0
"x[52360073910,52362086121,WodoStateHaz_1]",0.0
"x[52181076841,80652076031,WodoStateHaz_1]",0.0
"x[52362097371,55100071721,WodoStateHaz_1]",0.0
"x[52362117591,52362093371,WodoStateHaz_1]",0.0
"x[55100066490,52362091360,WodoStateHaz_1]",0.0
"x[80652074961,55101066850,WodoStateHaz_1]",-0.0
"x[52362072190,55101066410,WodoStateHaz_1]",0.0
"x[55100066111,55101069371,WodoStateHaz_1]",0.0
"x[52362115630,52362109241,WodoStateHaz_1]",0.0
"x[52362117730,52361085180,WodoStateHaz_1]",0.0
"x[52362079190,80652076031,WodoStateHaz_1]",0.0
"x[55101073920,52360073660,WodoStateHaz_1]",0.0
"x[52361117720,80152074470,WodoStateHaz_1]",0.0
"x[55100070280,52362102820,WodoStateHaz_1]",0.0
"x[52181076841,52362115281,WodoStateHaz_1]",0.0
"x[52361103300,52362115281,WodoStateHaz_1]",0.0
"x[55100069640,52362098031,WodoStateHaz_1]",0.0
"x[80152074930,55100072041,WodoStateHaz_1]",0.0
"x[52362107540,55100074240,WodoStateHaz_1]",0.0
"x[52362085320,52182077010,WodoStateHaz_1]",0.0
"x[52362072861,52182077951,WodoStateHaz_1]",0.0
"x[52362090981,52362091360,WodoStateHaz_1]",-0.0
"x[55100074740,52362080380,WodoStateHaz_1]",0.0
"x[52362115281,52362108951,WodoStateHaz_1]",0.0
"x[55101066850,52361073710,WodoStateHaz_1]",0.0
"x[52181075731,52181076841,WodoStateHaz_1]",0.0
"x[52362115281,55101066850,WodoStateHaz_1]",-0.0
"x[55100066110,55100066340,WodoStateHaz_1]",0.0
"x[52361078410,55101068370,WodoStateHaz_1]",0.0
"x[52182077011,52362087040,WodoStateHaz_1]",-0.0
"x[52362110770,52362085321,WodoStateHaz_1]",0.0
"x[52180075591,52362117731,WodoStateHaz_1]",0.0
"x[52361103430,55100069640,WodoStateHaz_1]",0.0
